dataPlatform,schema,dataset,class,field,sqlDataType,sourceDataType,sourceEntityType,sourceNullable,columnSize,definedBy,ordinalPosition,pk,pii,classification,encodingType,idx,V11
CRM_SQLITE,main,ACTIVITY,ACTIVITY,ACTIVITY_DATE,12,DATETIME,Column,TRUE,2000000000,STRING,3,,,,,,
CRM_SQLITE,main,ACTIVITY,ACTIVITY,ACTIVITY_ID,6,NUMERIC,Column,FALSE,2000000000,REAL,2,true,,,,,
CRM_SQLITE,main,ACTIVITY,ACTIVITY,ACTIVITY_NOTE,12,VARCHAR,Column,TRUE,2000,STRING,4,,true,NOTES,,,
CRM_SQLITE,main,ACTIVITY,ACTIVITY,CUSTOMER_ID,6,NUMERIC,Column,TRUE,2000000000,REAL,1,,,,,,
CRM_SQLITE,main,ACTIVITY_NEW,ACTIVITY_NEW,activity_id,12,,Column,TRUE,2000000000,STRING,1,true,,,,,
CRM_SQLITE,main,ACTIVITY_NEW,ACTIVITY_NEW,customer_id,12,,Column,TRUE,2000000000,STRING,2,,,,,,
CRM_SQLITE,main,ACTIVITY_NEW,ACTIVITY_NEW,rank,12,,Column,TRUE,2000000000,STRING,3,,,,,,
CRM_SQLITE,main,ADDRESS,ADDRESS,ADDRESS_ID,6,NUMERIC,Column,FALSE,2000000000,REAL,2,true,true,ADDRESS,,,
CRM_SQLITE,main,ADDRESS,ADDRESS,CITY,12,VARCHAR,Column,TRUE,200,STRING,5,,true,CITY,,,
CRM_SQLITE,main,ADDRESS,ADDRESS,COUNTRY,12,VARCHAR,Column,TRUE,200,STRING,8,,true,COUNTRY,,,
CRM_SQLITE,main,ADDRESS,ADDRESS,CUSTOMER_ID,6,NUMERIC,Column,TRUE,2000000000,REAL,1,,,,,,
CRM_SQLITE,main,ADDRESS,ADDRESS,STATE,12,VARCHAR,Column,TRUE,200,STRING,7,,true,STATE,,,
CRM_SQLITE,main,ADDRESS,ADDRESS,STREET_ADDRESS_1,12,VARCHAR,Column,TRUE,200,STRING,3,,true,STREET,,,
CRM_SQLITE,main,ADDRESS,ADDRESS,STREET_ADDRESS_2,12,VARCHAR,Column,TRUE,200,STRING,4,,true,STREET,,,
CRM_SQLITE,main,ADDRESS,ADDRESS,ZIP,12,VARCHAR,Column,TRUE,200,STRING,6,,true,POSTAL_CODE,,,
